DATE,age_category,percent_positive_7d_avg
01-May-20,0to13,0.034
02-May-20,0to13,0.035
03-May-20,0to13,0.036
04-May-20,0to13,0.0359
05-May-20,0to13,0.0355
06-May-20,0to13,0.0327
07-May-20,0to13,0.0347
08-May-20,0to13,0.0293
09-May-20,0to13,0.0265
10-May-20,0to13,0.0302
11-May-20,0to13,0.0334
12-May-20,0to13,0.0341
13-May-20,0to13,0.0334
14-May-20,0to13,0.0329
15-May-20,0to13,0.0318
16-May-20,0to13,0.0335
17-May-20,0to13,0.0339
18-May-20,0to13,0.0329
19-May-20,0to13,0.0317
20-May-20,0to13,0.0329
21-May-20,0to13,0.034
22-May-20,0to13,0.0366
23-May-20,0to13,0.0373
24-May-20,0to13,0.0366
25-May-20,0to13,0.0379
26-May-20,0to13,0.041
27-May-20,0to13,0.0369
28-May-20,0to13,0.0346
29-May-20,0to13,0.0309
30-May-20,0to13,0.0301
31-May-20,0to13,0.0282
01-Jun-20,0to13,0.0249
02-Jun-20,0to13,0.0254
03-Jun-20,0to13,0.0282
04-Jun-20,0to13,0.0287
05-Jun-20,0to13,0.0292
06-Jun-20,0to13,0.027
07-Jun-20,0to13,0.0278
08-Jun-20,0to13,0.0261
09-Jun-20,0to13,0.0248
10-Jun-20,0to13,0.024
11-Jun-20,0to13,0.0253
12-Jun-20,0to13,0.0248
13-Jun-20,0to13,0.0249
14-Jun-20,0to13,0.0247
15-Jun-20,0to13,0.0277
16-Jun-20,0to13,0.0251
17-Jun-20,0to13,0.023
18-Jun-20,0to13,0.0208
19-Jun-20,0to13,0.0215
20-Jun-20,0to13,0.0216
21-Jun-20,0to13,0.0206
22-Jun-20,0to13,0.0183
23-Jun-20,0to13,0.0162
24-Jun-20,0to13,0.0175
25-Jun-20,0to13,0.0178
26-Jun-20,0to13,0.0166
27-Jun-20,0to13,0.0165
28-Jun-20,0to13,0.0146
29-Jun-20,0to13,0.0132
30-Jun-20,0to13,0.014
01-Jul-20,0to13,0.0124
02-Jul-20,0to13,0.0102
03-Jul-20,0to13,0.009
04-Jul-20,0to13,0.0097
05-Jul-20,0to13,0.0099
06-Jul-20,0to13,0.0109
07-Jul-20,0to13,0.0103
08-Jul-20,0to13,0.0108
09-Jul-20,0to13,0.0111
10-Jul-20,0to13,0.0125
11-Jul-20,0to13,0.0115
12-Jul-20,0to13,0.0112
13-Jul-20,0to13,0.0103
14-Jul-20,0to13,0.0102
15-Jul-20,0to13,0.0108
16-Jul-20,0to13,0.0106
17-Jul-20,0to13,0.0108
18-Jul-20,0to13,0.0104
19-Jul-20,0to13,0.0107
20-Jul-20,0to13,0.0112
21-Jul-20,0to13,0.0131
22-Jul-20,0to13,0.0134
23-Jul-20,0to13,0.0138
24-Jul-20,0to13,0.0137
25-Jul-20,0to13,0.0141
26-Jul-20,0to13,0.0141
27-Jul-20,0to13,0.0137
28-Jul-20,0to13,0.0121
29-Jul-20,0to13,0.0104
30-Jul-20,0to13,0.0095
31-Jul-20,0to13,0.0093
01-Aug-20,0to13,0.0092
02-Aug-20,0to13,0.01
03-Aug-20,0to13,0.0102
04-Aug-20,0to13,0.0084
05-Aug-20,0to13,0.0086
06-Aug-20,0to13,0.0089
07-Aug-20,0to13,0.0079
08-Aug-20,0to13,0.0075
09-Aug-20,0to13,0.0067
10-Aug-20,0to13,0.0062
11-Aug-20,0to13,0.0076
12-Aug-20,0to13,0.0068
13-Aug-20,0to13,0.0097
14-Aug-20,0to13,0.0091
