_id,Reported Date,Confirmed Negative,Presumptive Negative,Presumptive Positive,Confirmed Positive,Resolved,Deaths,Total Cases,Total patients approved for testing as of Reporting Date,Total tests completed in the last day,Percent positive tests in last day,Under Investigation,Number of patients hospitalized with COVID-19,Number of patients in ICU with COVID-19,Number of patients in ICU on a ventilator with COVID-19,Total Positive LTC Resident Cases,Total Positive LTC HCW Cases,Total LTC Resident Deaths,Total LTC HCW Deaths
60,2020-04-05T00:00:00,,,,2470,1449,119,4038,75046,,,981,523,200,154,,,,
61,2020-04-06T00:00:00,,,,2591,1624,132,4347,78796,,,329,589,216,160,,,,
62,2020-04-07T00:00:00,,,,2771,1802,153,4726,81364,,,691,614,233,187,,,,
63,2020-04-08T00:00:00,,,,3028,2074,174,5276,84601,,,1102,605,246,195,,,,
64,2020-04-09T00:00:00,,,,3254,2305,200,5759,88698,,,1208,632,264,214,,,,
65,2020-04-10T00:00:00,,,,3441,2574,222,6237,92673,,,1598,673,260,217,,,,
66,2020-04-11T00:00:00,,,,3537,2858,253,6648,96321,,,1517,691,257,215,,,,
67,2020-04-12T00:00:00,,,,3654,3121,274,7049,103165,,,1619,738,261,196,,,,
68,2020-04-13T00:00:00,,,,3822,3357,291,7470,108230,,,1534,760,263,203,,,,
69,2020-04-14T00:00:00,,,,4051,3568,334,7953,113082,,,2107,769,255,199,,,,
70,2020-04-15T00:00:00,,,,4160,3902,385,8447,119092,6010,,4429,795,254,188,,,,
71,2020-04-16T00:00:00,,,,4344,4194,423,8961,128093,9001,,4323,807,248,200,,,,
72,2020-04-17T00:00:00,,,,4491,4556,478,9525,136992,8899,,5993,829,245,200,,,,
73,2020-04-18T00:00:00,,,,4621,4875,514,10010,146454,9462,,6833,828,250,197,,,,
74,2020-04-19T00:00:00,,,,4816,5209,553,10578,156097,9643,8.5,5736,809,247,196,,,,
75,2020-04-20T00:00:00,,,,5085,5515,584,11184,164840,8743,7.1,3799,802,247,193,,,,
76,2020-04-21T00:00:00,,,,5307,5806,622,11735,174170,9330,7.7,5546,859,250,194,,,,
77,2020-04-22T00:00:00,,,,5365,6221,659,12245,184531,10361,8.1,6845,878,243,192,,,,
78,2020-04-23T00:00:00,,,,5486,6680,713,12879,194745,10214,7.3,6757,887,233,185,,,,
79,2020-04-24T00:00:00,,,,5669,7087,763,13519,207040,12295,5.0,5414,910,243,193,,,,
80,2020-04-25T00:00:00,,,,5675,7509,811,13995,217618,10578,5.7,8171,925,245,195,,,,
81,2020-04-26T00:00:00,,,,5597,8000,835,14432,229638,12020,7.1,7417,938,252,195,,,,
82,2020-04-27T00:00:00,,,,5439,8525,892,14856,242188,12550,6.0,5001,945,241,191,,,,
83,2020-04-28T00:00:00,,,,5466,8964,951,15381,253040,10852,5.7,6282,957,239,187,,,,
84,2020-04-29T00:00:00,,,,5120,9612,996,15728,264594,11554,5.2,9530,977,235,186,,,,
85,2020-04-30T00:00:00,,,,4900,10205,1082,16187,277522,12928,4.5,11859,999,233,181,,,,
86,2020-05-01T00:00:00,,,,4662,10825,1121,16608,294054,16532,4.9,11975,1017,225,175,,,,
87,2020-05-02T00:00:00,,,,4553,11390,1176,17119,310359,16305,4.6,12829,977,221,154,,,,
88,2020-05-03T00:00:00,,,,4332,12005,1216,17553,327505,17146,4.7,9785,1010,232,174,,,,
89,2020-05-04T00:00:00,,,,4118,12505,1300,17923,342060,14555,5.4,6265,984,225,175,,,,
90,2020-05-05T00:00:00,,,,4170,12779,1361,18310,352714,10654,5.0,6023,1043,223,166,,,,
