_id,Reported Date,Confirmed Negative,Presumptive Negative,Presumptive Positive,Confirmed Positive,Resolved,Deaths,Total Cases,Total patients approved for testing as of Reporting Date,Total tests completed in the last day,Percent positive tests in last day,Under Investigation,Number of patients hospitalized with COVID-19,Number of patients in ICU with COVID-19,Number of patients in ICU on a ventilator with COVID-19,Total Positive LTC Resident Cases,Total Positive LTC HCW Cases,Total LTC Resident Deaths,Total LTC HCW Deaths
235,2020-09-27T00:00:00,,,,4196,42796,2839,49831,3808226,42509,1.4,65061,112,28,16,6051,2696,1832,8
236,2020-09-28T00:00:00,,,,4564,43127,2840,50531,3849337,41111,1.2,49586,128,29,17,6059,2701,1833,8
237,2020-09-29T00:00:00,,,,4791,43450,2844,51085,3887712,38375,1.2,54759,137,30,16,6062,2708,1833,8
238,2020-09-30T00:00:00,,,,4955,43907,2848,51710,3923465,35753,1.5,67126,150,35,17,6071,2714,1836,8
239,2020-10-01T00:00:00,,,,4975,44422,2851,52248,3963111,39646,1.5,82473,162,36,17,6085,2720,1838,8
240,2020-10-02T00:00:00,,,,5203,44850,2927,52980,4003204,40093,1.3,90513,167,38,21,6166,2555,1909,8
241,2020-10-03T00:00:00,,,,5380,45285,2968,53633,4049458,46254,1.5,91322,155,41,23,6207,,1948,8
242,2020-10-04T00:00:00,,,,5405,45819,2975,54199,4089119,39661,1.6,78953,169,43,25,6209,2646,1949,8
243,2020-10-05T00:00:00,,,,5474,46360,2980,54814,4127315,38196,1.8,68006,176,43,26,6216,2650,1951,8
244,2020-10-06T00:00:00,,,,5469,46906,2987,55362,4169346,42031,1.8,55483,192,41,26,6230,2659,1953,8
245,2020-10-07T00:00:00,,,,5344,47613,2988,55945,4212623,43277,1.9,55413,195,43,28,6253,2668,1952,8
246,2020-10-08T00:00:00,,,,5442,48308,2992,56742,4261111,48488,2.1,58118,206,47,29,6274,2670,1954,8
247,2020-10-09T00:00:00,,,,5652,49032,2997,57681,4306025,44914,2.0,58173,225,47,29,6286,2682,1956,8
248,2020-10-10T00:00:00,,,,5754,49732,3004,58490,4350323,44298,2.0,56138,213,48,29,6296,2689,1961,8
249,2020-10-11T00:00:00,,,,5697,50437,3005,59139,4394461,44138,2.3,45837,217,51,32,6301,2689,1961,8
250,2020-10-12T00:00:00,,,,5833,51105,3008,59946,4430934,36473,2.3,32473,203,53,30,6310,2698,1961,8
251,2020-10-13T00:00:00,,,,5946,51729,3017,60692,4462167,31233,2.6,24420,230,60,34,6318,2706,1968,8
252,2020-10-14T00:00:00,,,,5884,52512,3017,61413,4494373,32206,3.0,26558,231,64,35,6335,2712,1968,8
253,2020-10-15T00:00:00,,,,5883,53291,3022,62196,4534334,39961,2.9,36314,253,62,31,6355,2717,1969,8
254,2020-10-16T00:00:00,,,,5873,54004,3031,62908,4572841,38507,2.0,37155,261,67,36,6365,2728,1974,8
255,2020-10-17T00:00:00,,,,5986,54686,3041,63713,4617563,44722,2.3,33630,278,72,42,6380,2733,1979,8
256,2020-10-18T00:00:00,,,,5954,55371,3046,64371,4658413,40850,2.5,23609,247,71,43,6402,2740,1980,8
257,2020-10-19T00:00:00,,,,6047,55978,3050,65075,4690277,31864,3.1,16303,252,69,40,6419,2755,1980,8
258,2020-10-20T00:00:00,,,,6237,56606,3053,65896,4714326,24049,3.6,24129,274,72,45,6442,2772,1979,8
259,2020-10-21T00:00:00,,,,6299,57325,3062,66686,4746972,32646,2.5,29332,260,71,49,6462,2781,1981,8
260,2020-10-22T00:00:00,,,,6390,58066,3071,67527,4785832,38860,2.5,34784,270,74,48,6487,2785,1984,8
261,2020-10-23T00:00:00,,,,6474,58799,3080,68353,4825851,40019,2.9,35436,276,78,47,6524,2796,1987,8
262,2020-10-24T00:00:00,,,,6821,59424,3086,69331,4870002,44151,2.6,30922,294,82,53,6607,2805,1989,8
263,2020-10-25T00:00:00,,,,7120,60160,3093,70373,4908771,38769,3.2,23601,278,79,54,6637,2820,1989,8
264,2020-10-26T00:00:00,,,,7286,60839,3099,71224,4937423,28652,3.8,17603,295,78,51,6678,2822,1991,8
265,2020-10-27T00:00:00,,,,7418,61530,3103,72051,4961368,23945,3.5,22636,312,75,52,6705,2837,1994,8
266,2020-10-28T00:00:00,,,,7474,62303,3108,72885,4991378,30010,3.0,33906,312,71,51,6737,2840,1996,8
267,2020-10-29T00:00:00,,,,7578,63123,3118,73819,5026999,35621,2.9,40074,322,77,52,6765,2851,2001,8
268,2020-10-30T00:00:00,,,,7669,63919,3127,74715,5068007,41008,2.8,41063,314,75,52,6829,2869,2004,8
269,2020-10-31T00:00:00,,,,7877,64717,3136,75730,5109927,41920,3.0,36262,320,73,54,6873,2873,2009,8
270,2020-11-01T00:00:00,,,,7981,65581,3145,76707,5147060,37133,3.0,23933,350,72,46,6941,2878,2013,8
271,2020-11-02T00:00:00,,,,8096,66407,3152,77655,5174968,27908,4.0,15397,328,75,45,6963,2891,2016,8
272,2020-11-03T00:00:00,,,,8295,67244,3166,78705,5200247,25279,4.0,20758,357,73,47,6998,2898,2024,8
273,2020-11-04T00:00:00,,,,8321,68189,3182,79692,5228814,28567,3.7,33087,367,75,44,7042,2926,2035,8
274,2020-11-05T00:00:00,,,,8358,69137,3195,80690,5264568,35754,3.3,41787,381,86,48,7094,2934,2042,8
275,2020-11-06T00:00:00,,,,8398,70086,3209,81693,5305836,41268,3.7,47074,380,86,49,7183,2946,2050,8
276,2020-11-07T00:00:00,,,,8667,70938,3220,82825,5345001,39165,3.5,44572,384,88,52,7213,2969,2056,8
277,2020-11-08T00:00:00,,,,9105,71815,3233,84153,5382578,37577,4.2,35776,374,86,51,7288,2983,2063,8
278,2020-11-09T00:00:00,,,,9514,72636,3245,85395,5410979,28401,5.0,26646,367,84,54,7329,2997,2069,8
279,2020-11-10T00:00:00,,,,10106,73417,3260,86783,5440104,29125,5.7,27802,422,82,54,7391,3016,2080,8
280,2020-11-11T00:00:00,,,,10631,74303,3275,88209,5476811,36707,5.1,34460,424,88,57,7470,3034,2087,8
281,2020-11-12T00:00:00,,,,11271,75220,3293,89784,5516370,39559,4.3,41977,431,98,62,7527,3040,2099,8
282,2020-11-13T00:00:00,,,,11630,76238,3312,91180,5556879,40509,4.5,44507,452,106,67,7554,3054,2109,8
283,2020-11-14T00:00:00,,,,12188,77241,3332,92761,5601716,44837,4.2,39767,502,107,66,7624,3074,2121,8
284,2020-11-15T00:00:00,,,,12345,78303,3361,94009,5643922,42206,3.8,26147,479,118,67,7685,3087,2141,8
285,2020-11-16T00:00:00,,,,12830,79295,3371,95496,5677273,33351,4.1,16254,500,125,70,7747,3097,2145,8
286,2020-11-17T00:00:00,,,,12932,80430,3383,96745,5703741,26468,6.1,25435,529,127,75,7788,3131,2148,8
287,2020-11-18T00:00:00,,,,12822,81925,3415,98162,5737181,33440,4.5,36671,535,127,78,7857,3152,2174,8
288,2020-11-19T00:00:00,,,,12628,83301,3443,99372,5779019,41838,4.1,44493,526,146,88,7915,3161,2189,8
289,2020-11-20T00:00:00,,,,12623,84716,3451,100790,5827192,48173,3.6,46609,518,142,92,7934,3172,2193,8
290,2020-11-21T00:00:00,,,,12827,86079,3472,102378,5873863,46671,4.3,43047,513,146,87,7984,3190,2206,8
291,2020-11-22T00:00:00,,,,12918,87508,3486,103912,5920252,46389,3.8,30427,484,147,89,8020,3197,2213,8
292,2020-11-23T00:00:00,,,,13004,88992,3505,105501,5957723,37471,4.6,18394,507,156,92,8078,3211,2224,8
293,2020-11-24T00:00:00,,,,12917,90074,3519,106510,5984776,27053,5.8,29316,534,159,91,8118,3218,2234,8
294,2020-11-25T00:00:00,,,,12779,91550,3554,107883,6020852,36076,4.7,44950,523,159,106,8177,3234,2256,8
295,2020-11-26T00:00:00,,,,12871,92915,3575,109361,6068428,47576,3.9,52852,556,151,105,8237,3248,2270,8
296,2020-11-27T00:00:00,,,,13255,94366,3595,111216,6126465,58037,3.7,54241,541,151,101,8330,3267,2283,8
297,2020-11-28T00:00:00,,,,13538,95876,3624,113038,6181551,55086,3.4,56219,595,155,99,,,2294,8
298,2020-11-29T00:00:00,,,,13779,97319,3648,114746,6235510,53959,3.7,38724,586,156,91,8361,,2301,8
299,2020-11-30T00:00:00,,,,14197,98639,3656,116492,6274916,39406,4.6,27388,618,168,108,8399,,2303,8
300,2020-12-01T00:00:00,,,,14524,100012,3663,118199,6309556,34640,5.1,34046,645,185,112,8493,,2309,8
301,2020-12-02T00:00:00,,,,14526,101698,3698,119922,6353782,44226,4.7,49574,656,183,106,8674,3373,2331,8
302,2020-12-03T00:00:00,,,,14795,103239,3712,121746,6406655,52873,4.4,58320,666,195,107,8726,3374,2342,8
303,2020-12-04T00:00:00,,,,14997,104792,3737,123526,6462656,56001,3.6,62403,674,207,116,,,2357,8
304,2020-12-05T00:00:00,,,,15212,106416,3757,125385,6522055,59399,3.4,63193,709,202,116,8850,3461,2370,8
305,2020-12-06T00:00:00,,,,15547,107990,3772,127309,6581306,59251,3.9,47850,701,204,109,8895,3487,2378,8
306,2020-12-07T00:00:00,,,,16034,109402,3798,129234,6626589,45283,4.0,31238,725,213,121,8966,3504,2391,8
307,2020-12-08T00:00:00,,,,16151,110951,3808,130910,6665787,39198,5.0,40732,794,219,132,9004,3522,2396,8
308,2020-12-09T00:00:00,,,,16089,112875,3836,132800,6714333,48546,4.4,54613,811,221,129,9045,3549,2407,8
309,2020-12-10T00:00:00,,,,16233,114679,3871,134783,6776142,61809,3.6,66326,829,228,132,9093,3583,2431,8
310,2020-12-11T00:00:00,,,,16283,116432,3916,136631,6839193,63051,3.2,69280,808,235,124,9156,3609,2460,8
311,2020-12-12T00:00:00,,,,16221,118350,3933,138504,6904453,65260,3.2,67654,855,237,143,9206,3635,2469,8
312,2020-12-13T00:00:00,,,,16204,120028,3949,140181,6962643,58190,3.2,51051,813,253,142,9279,3663,2479,8
313,2020-12-14T00:00:00,,,,16586,121563,3972,142121,7019734,57091,4.6,32045,857,244,149,9358,3678,2490,8
314,2020-12-15T00:00:00,,,,17031,123373,3992,144396,7059300,39566,5.4,45770,921,249,156,9378,3686,2491,8
315,2020-12-16T00:00:00,,,,17084,125416,4035,146535,7108489,49189,5.1,65597,932,256,157,9462,3717,2513,8
316,2020-12-17T00:00:00,,,,17484,127425,4058,148967,7166667,58178,4.0,78631,919,263,172,9538,3750,2526,8
317,2020-12-18T00:00:00,,,,17742,129417,4098,151257,7234913,68246,3.9,81235,877,261,168,9625,3809,2537,8
318,2020-12-19T00:00:00,,,,18207,131282,4125,153614,7302120,67207,4.2,78147,895,256,146,9755,3840,2546,8
319,2020-12-20T00:00:00,,,,18567,133213,4150,155930,7371532,69412,3.6,54546,875,261,156,9845,3869,2564,8
320,2020-12-21T00:00:00,,,,19019,134867,4167,158053,7426037,54505,4.7,39106,915,265,152,9938,3917,2581,8
321,2020-12-22T00:00:00,,,,19300,136767,4188,160255,7471302,45265,5.0,47872,1005,273,172,10056,3952,2592,8
322,2020-12-23T00:00:00,,,,19424,139010,4229,162663,7527962,56660,4.8,66976,1002,275,186,10206,3996,2608,8
323,2020-12-24T00:00:00,,,,19809,141023,4278,165110,7592554,64592,3.7,75250,967,277,176,10315,4068,2643,8
324,2020-12-25T00:00:00,,,,19688,143260,4321,167269,7654019,61465,3.4,65675,998,280,156,10412,4116,2665,8
325,2020-12-26T00:00:00,,,,19879,145173,4359,169411,7703530,49511,3.8,37010,755,286,187,10492,4135,2682,8
326,2020-12-27T00:00:00,,,,19861,147178,4377,171416,7745313,41783,5.1,27278,823,285,194,10577,4160,2696,8
327,2020-12-28T00:00:00,,,,19612,149329,4414,173355,7784878,39565,8.6,26453,875,296,211,10647,4195,2708,8
328,2020-12-29T00:00:00,,,,19891,151562,4455,175908,7818990,34112,9.7,32850,864,304,207,10725,4228,2726,8
329,2020-12-30T00:00:00,,,,20558,153799,4474,178831,7858200,39210,8.4,54955,1177,323,204,10830,4256,2738,8
330,2020-12-31T00:00:00,,,,21617,156012,4530,182159,7922058,63858,5.7,72283,1235,337,210,11027,4280,2777,8
331,2021-01-01T00:00:00,,,,21582,158472,4581,184635,7991628,70570,5.3,71526,1260,336,221,11143,4329,2800,8
332,2021-01-02T00:00:00,,,,22847,160526,4625,187998,8053029,61401,6.0,41709,1003,322,220,11217,4365,2814,8
333,2021-01-03T00:00:00,,,,23611,162701,4650,190962,8103832,49803,5.6,27769,998,329,228,11293,4397,2829,8
334,2021-01-04T00:00:00,,,,24778,164775,4679,194232,8142953,39121,9.7,19683,1190,333,194,11369,4434,2843,8
335,2021-01-05T00:00:00,,,,25840,166790,4730,197360,8178105,35152,9.4,39805,1347,352,245,11511,4479,2865,8
336,2021-01-06T00:00:00,,,,26064,169795,4767,200626,8229150,51045,8.5,55484,1463,361,246,11634,4552,2885,9
337,2021-01-07T00:00:00,,,,26718,172571,4856,204145,8294922,65772,6.1,66970,1472,363,242,11756,4590,2928,9
338,2021-01-08T00:00:00,,,,28203,175309,4882,208394,8366403,71481,6.2,73067,1446,369,250,11915,4641,2943,9
339,2021-01-09T00:00:00,,,,28691,178224,4922,211837,8439303,72900,5.3,61228,1457,382,244,12073,4695,2969,9
340,2021-01-10T00:00:00,,,,30079,180720,4983,215782,8501611,62308,6.2,39362,1483,388,266,12210,4752,2990,9
341,2021-01-11T00:00:00,,,,30632,183476,5012,219120,8548014,46403,7.7,28774,1563,387,268,12377,4802,3004,9
342,2021-01-12T00:00:00,,,,30141,186829,5053,222023,8592816,44802,7.8,43154,1701,385,262,12575,4870,3027,9
343,2021-01-13T00:00:00,,,,29636,190221,5127,224984,8643747,50931,6.0,61259,1674,385,276,12726,4938,3063,10
344,2021-01-14T00:00:00,,,,29307,193814,5189,228310,8714916,71169,5.1,66940,1657,388,280,12869,5009,3092,10
345,2021-01-15T00:00:00,,,,28825,197194,5289,231308,8791388,76472,4.6,63728,1647,387,280,13014,5069,3137,10
346,2021-01-16T00:00:00,,,,28618,200406,5340,234364,8865263,73875,4.9,50387,1632,397,281,13104,5134,3162,10
347,2021-01-17T00:00:00,,,,28893,203484,5409,237786,8925446,60183,5.2,30103,1570,395,293,13210,5209,3198,10
348,2021-01-18T00:00:00,,,,28621,206310,5433,240364,8965747,40301,6.6,18481,1571,394,303,13337,5261,3212,10
349,2021-01-19T00:00:00,,,,27615,209183,5479,242277,9000278,34531,6.8,36750,1626,400,292,13412,5318,3232,10
350,2021-01-20T00:00:00,,,,26467,212897,5568,244932,9054585,54307,4.9,48963,1598,395,296,13549,5375,3274,10
351,2021-01-21T00:00:00,,,,26063,215887,5614,247564,9124841,70256,4.3,52871,1533,388,293,13647,5430,3307,10
352,2021-01-22T00:00:00,,,,25263,219262,5701,250226,9196591,71750,3.3,41819,1512,383,291,13746,5494,3350,10
